Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6907625750682836,0.5446790360418015,0.6975909907010909,0.5449989336745578,0:10:46,0:01:31
2,0.6892888713020281,0.5493353238074945,0.6959412436186314,0.5449989336745578,0:10:46,0:01:32
3,0.6886889715137754,0.5506149143385239,0.6940935326171699,0.5449989336745578,0:10:47,0:01:31
4,0.6885641679552273,0.5507570910641945,0.6935268812124651,0.5449989336745578,0:10:46,0:01:31
5,0.6884444860996125,0.5513613421482919,0.6926738983228736,0.5449989336745578,0:10:46,0:01:31
6,0.6882423313346898,0.5507570910641946,0.6926806931761085,0.5449989336745578,0:10:47,0:01:31
7,0.6881758143688779,0.5510769886969521,0.6921538438311923,0.5449989336745578,0:10:46,0:01:31
8,0.6881796031217886,0.5512902537854569,0.6919248302014913,0.5449989336745578,0:10:46,0:01:31
9,0.6880880252693121,0.5513257979668744,0.6915145781432217,0.5449989336745578,0:10:46,0:01:31
10,0.6880967552205803,0.5513257979668744,0.691483728106176,0.5449989336745578,0:10:46,0:01:31
11,0.6880193956754029,0.5513257979668744,0.691146571210616,0.5449989336745578,0:10:46,0:01:31
12,0.6880139793686634,0.5513257979668744,0.6912452333338048,0.5449989336745578,0:10:47,0:01:31
13,0.6880074236712799,0.5513257979668744,0.6905142126827765,0.5449989336745578,0:10:46,0:01:31
14,0.6879558153283649,0.5513257979668744,0.6906712370199495,0.5449989336745578,0:10:46,0:01:31
15,0.6880868173123524,0.5513257979668744,0.6901471485942126,0.5449989336745578,0:10:46,0:01:31
16,0.6879641451060734,0.5513613421482919,0.6899906229835554,0.5449989336745578,0:10:46,0:01:31
17,0.6879991241090204,0.5512547096040394,0.6897799595761437,0.5449989336745578,0:10:53,0:01:31
18,0.687869417436038,0.5512902537854569,0.6895156326922406,0.5449989336745578,0:10:47,0:01:31
19,0.6878836234512297,0.551361342148292,0.6893033153798743,0.5449989336745578,0:10:47,0:01:32
20,0.6878976719062653,0.5512902537854569,0.6891860375782655,0.5449989336745578,0:10:46,0:01:32
