Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6897612011529256,0.5463851567498401,0.6886433585286522,0.5505438259756884,0:12:18,0:02:04
2,0.6890843454950983,0.5489087936304822,0.6888110429830301,0.5505438259756884,0:10:46,0:01:32
3,0.6891732233677573,0.5485888959977249,0.6886790270082324,0.5505438259756884,0:10:46,0:01:31
4,0.6886035149146763,0.5496196772588319,0.6889906376504928,0.5505438259756884,0:10:46,0:01:31
5,0.6887798651013707,0.549050970356152,0.688813769695321,0.5505438259756884,0:10:47,0:01:31
6,0.6887835035143084,0.5495841330774147,0.6887712465671874,0.5505438259756884,0:10:47,0:01:31
7,0.6893174607671383,0.5474870263737824,0.6884566743405904,0.5505438259756884,0:10:47,0:01:31
8,0.6887615804200387,0.549619677258832,0.6887044010449127,0.5505438259756884,0:10:47,0:01:31
9,0.6886681353748416,0.5493708679889098,0.6886059835944051,0.5505438259756884,0:10:46,0:01:31
10,0.6884016967907876,0.5495130447145798,0.6888125956783063,0.5505438259756884,0:10:46,0:01:31
11,0.688809851716388,0.5498329423473374,0.6883968886319293,0.5505438259756884,0:10:46,0:01:31
12,0.6884285945911656,0.5496196772588323,0.6883742945436782,0.5505438259756884,0:10:46,0:01:31
13,0.6885218765593765,0.5493708679889098,0.6883121551951764,0.5505438259756884,0:10:46,0:01:31
14,0.6883534674808196,0.5494775005331624,0.6882171687680182,0.5505438259756884,0:10:47,0:01:31
15,0.6883335556015833,0.5497263098030848,0.6882432783099984,0.5505438259756884,0:10:46,0:01:31
16,0.6884504642840463,0.5496552214402499,0.6881393943165482,0.5505438259756884,0:10:48,0:01:36
17,0.6540465898975479,0.6266083742091428,0.6275642364359176,0.6886329707826828,0:10:49,0:01:31
18,0.6105531273136823,0.6845098457382532,0.5908387866793576,0.7085732565579015,0:10:47,0:01:31
19,0.5924860385593561,0.704450131513474,0.5742224037971393,0.7179569204521218,0:10:47,0:01:32
20,0.5701913967852553,0.7128030141465864,0.5702017895205236,0.7160375346555765,0:10:47,0:01:31
