Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.7027970350139505,0.5303902751119645,0.690320773988066,0.5505438259756884,0:24:05,0:03:51
2,0.7016675168770314,0.5263737826117866,0.6910243131606455,0.5505438259756884,0:24:07,0:03:49
3,0.6991158422058034,0.526800312788797,0.689249921783147,0.5505438259756884,0:24:08,0:03:49
4,0.6987739733336297,0.5270135778773007,0.6893747188460728,0.5505438259756884,0:24:08,0:03:48
5,0.6971541437723409,0.52832871258975,0.6907944495069317,0.5505438259756884,0:24:08,0:03:48
6,0.6958932948725186,0.5289329636738475,0.6902556867837448,0.5505438259756884,0:24:08,0:03:48
7,0.6951460731921865,0.5319186749129162,0.691204525725779,0.5505438259756884,0:24:08,0:03:48
8,0.6948326907831104,0.5313499680102372,0.6912245934236835,0.5505438259756884,0:24:08,0:03:48
9,0.6947103543089864,0.5352598279661601,0.6906746491284532,0.5505438259756884,0:24:07,0:03:48
10,0.693958239086047,0.5341935025236363,0.6904811155163014,0.5505438259756884,0:24:07,0:03:48
11,0.6925651281404709,0.535686358143171,0.6902969336174118,0.5505438259756884,0:24:09,0:03:48
12,0.692238211504659,0.5361839766830171,0.6898498066098585,0.5505438259756884,0:24:08,0:03:47
13,0.6919444051791062,0.5378545532096386,0.6897129717349091,0.5505438259756884,0:24:07,0:03:47
14,0.6912256780146637,0.5379611857538907,0.6891026052235795,0.5505438259756884,0:24:07,0:03:47
15,0.6909460907273263,0.5405203668159515,0.6892289135292868,0.5505438259756884,0:24:07,0:03:47
16,0.6907148524105079,0.5431150920594284,0.6890224075744492,0.5505438259756884,0:24:07,0:03:47
17,0.6901782595048609,0.5418355015283993,0.6889395510166483,0.5505438259756884,0:24:06,0:03:47
18,0.690427771418505,0.5435771664178575,0.6888842679183603,0.5505438259756884,0:24:06,0:03:47
19,0.689593585334777,0.5451055662188096,0.6885713212625841,0.5505438259756884,0:24:06,0:03:47
20,0.6894802546979115,0.5465628776569268,0.6880393822987875,0.5505438259756884,0:24:05,0:03:47
