Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.5548456178691678,0.7213869339589137,0.4782873861806292,0.7656856472595454,0:13:40,0:02:29
2,0.4500167875677406,0.8114381175801614,0.65658470668165,0.7651738110471323,0:12:00,0:01:49
3,0.39801425863977274,0.8727162863439375,1.0369404544339558,0.7456600554489248,0:12:00,0:01:49
4,0.3403465347702879,0.9120636951731096,1.2351978657499711,0.7378332267007902,0:12:01,0:01:49
5,0.27226220744085966,0.9357716641785797,1.5193616631745637,0.7373213904883791,0:12:01,0:01:49
6,0.22087421568024584,0.9526196061704749,1.6523359580329615,0.7301556835146097,0:12:00,0:01:49
7,0.16890179801257083,0.9657709532949488,1.7736425959643938,0.7261249733418655,0:12:01,0:01:49
8,0.13991369968668557,0.9725598919456904,1.9392245355723885,0.7240776284922166,0:12:00,0:01:49
9,0.1065980742870105,0.9790644771450941,1.833369009415158,0.7318831307315009,0:12:00,0:01:49
10,0.0941462352341439,0.982476718561173,2.104823396815463,0.7336958839837918,0:12:00,0:01:49
11,0.08006638460389282,0.9846093694462243,2.007983901525754,0.7392407762849218,0:12:02,0:01:50
12,0.0703294069825734,0.9867420203312727,2.2518126049409313,0.7310087438686305,0:12:00,0:01:50
13,0.059572502224652255,0.9891590246676634,2.251197695933995,0.7351887396033283,0:12:03,0:01:49
14,0.05032079552131396,0.9912561313712955,2.3123126275045323,0.7305822136916205,0:12:00,0:01:49
15,0.042023859918140026,0.9926423544465779,2.2441266797565405,0.7347622094263181,0:12:00,0:01:49
16,0.035784662482019336,0.9928911637165009,2.352664551820567,0.7334612923864379,0:12:00,0:01:50
17,0.031264746981067244,0.9943129309732004,2.4026488537966495,0.7319684367669042,0:12:01,0:01:49
18,0.02768554821401136,0.9945972844245395,2.5401516712041095,0.7347408829174685,0:12:00,0:01:49
19,0.025485734127269823,0.9950593587829676,2.5724108061867934,0.7350607805502257,0:11:59,0:01:49
20,0.017878893088606414,0.9956636098670653,2.604035973780554,0.7346342503732155,0:11:59,0:01:49
