Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6227478016573855,0.6802623160588611,0.5893204387227313,0.6919172531456599,0:13:49,0:02:24
2,0.6620895631768653,0.6009632473164146,0.6972017243399654,0.5451055662188102,0:12:06,0:01:49
3,0.6972329763047704,0.5337847444373356,0.6987997516560692,0.5449989336745578,0:12:05,0:01:50
4,0.6957656333418029,0.5298748844814102,0.6948198186077525,0.5449989336745578,0:12:06,0:01:49
5,0.6950783060097343,0.5320963958200043,0.693703818000896,0.5449989336745578,0:12:05,0:01:49
6,0.6942310629749786,0.532753963176227,0.6929393170814978,0.5449989336745578,0:12:05,0:01:49
7,0.6946032588276992,0.5314032842823645,0.692034167200041,0.5449989336745578,0:12:06,0:01:49
8,0.6938236581475833,0.5327539631762278,0.6909091018440627,0.5449989336745578,0:12:05,0:01:49
9,0.6924844779142517,0.5359707115945102,0.6901524553524708,0.5449989336745578,0:12:05,0:01:49
10,0.6922747167881986,0.535419776782542,0.6900417268543158,0.5449989336745578,0:12:06,0:01:49
11,0.6924063661734569,0.5363972417715217,0.6891857972910826,0.5449989336745578,0:12:08,0:01:49
12,0.6914819444158892,0.535313144238289,0.6893918092862505,0.5449989336745578,0:12:06,0:01:50
13,0.6906326524317455,0.5375168834861738,0.6891148576962208,0.5452121987630628,0:12:07,0:01:50
14,0.6886028540391204,0.551947821141679,0.6892047756692956,0.5442525058647903,0:12:06,0:01:50
15,0.6896901925023519,0.5457631335750324,0.6891992026922112,0.5449989336745578,0:12:06,0:01:49
16,0.6899677186181078,0.5439859245041587,0.6891665867865276,0.5449989336745578,0:12:06,0:01:49
17,0.6905274405538413,0.54382597568778,0.6891916602449545,0.5449989336745578,0:12:06,0:01:49
18,0.6899080762326222,0.5428840548802174,0.6892509634725116,0.5449989336745578,0:12:05,0:01:49
19,0.6895454011255298,0.5404670505438276,0.689329780109098,0.5449989336745578,0:12:05,0:01:49
20,0.6893764823757781,0.545674273121491,0.6891187866833907,0.5449989336745578,0:12:05,0:01:49
