Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6259008814281023,0.6869446221653527,0.6272051338480591,0.672808701215611,0:06:19,0:00:57
2,0.6207144611214594,0.6912632402075779,0.627144079633958,0.6765621667732985,0:06:19,0:00:56
3,0.671626937207598,0.587420914196346,0.6986025672880259,0.5449989336745578,0:06:19,0:00:57
4,0.6895295537835018,0.5498151702566295,0.6905405040513378,0.5449989336745578,0:06:19,0:00:56
5,0.6886817533773104,0.5514146584204171,0.6910226921278624,0.5449989336745578,0:06:19,0:00:56
6,0.6882173055828597,0.5513435700575822,0.6915905133547572,0.5449989336745578,0:06:19,0:00:56
7,0.6883885314607447,0.5513435700575822,0.6914974433904417,0.5449989336745578,0:06:19,0:00:56
8,0.6884458413584752,0.5513435700575822,0.6913288614723977,0.5449989336745578,0:06:19,0:00:56
9,0.6882497851058959,0.5513435700575822,0.69134023020989,0.5449989336745578,0:06:19,0:00:56
10,0.6881769857800167,0.5513435700575822,0.6912320540337248,0.5449989336745578,0:06:19,0:00:56
11,0.6883306568125007,0.5513435700575822,0.6914530843400986,0.5449989336745578,0:06:19,0:00:56
12,0.6882831623341183,0.5513435700575822,0.6910764685976757,0.5449989336745578,0:06:19,0:00:56
13,0.6881764559990868,0.5513435700575822,0.6908421662093277,0.5449989336745578,0:06:19,0:00:56
14,0.6881992251894881,0.5513435700575822,0.6903207434039809,0.5449989336745578,0:06:19,0:00:56
15,0.6881448343049796,0.5513435700575822,0.6901952451951826,0.5449989336745578,0:06:19,0:00:56
16,0.6881003697738639,0.5513435700575822,0.6897752030644749,0.5449989336745578,0:06:19,0:00:56
17,0.6880718767960765,0.5513435700575822,0.6895487932005679,0.5449989336745578,0:06:19,0:00:56
18,0.6879904684697064,0.5513435700575822,0.6894203137680268,0.5449989336745578,0:06:19,0:00:56
19,0.6880539156374176,0.5513435700575822,0.6892596365394152,0.5449989336745578,0:06:20,0:00:56
20,0.6879919223832179,0.5513435700575822,0.6892237930975125,0.5449989336745578,0:06:20,0:00:56
