Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.5522396969570232,0.7332053742802354,0.5072323106758425,0.7654084026444856,0:06:42,0:01:03
2,0.4500431274217815,0.8165209355228663,0.6000723741008345,0.7726594156536574,0:06:41,0:01:01
3,0.39996734733609285,0.863972417715233,0.8385104007556586,0.7674344209852837,0:06:40,0:01:01
4,0.3423935686040038,0.9001919385796654,1.0207864804925089,0.7586905523565788,0:06:40,0:01:01
5,0.296015211617126,0.9258548375630983,1.1017709613357023,0.7526124973341858,0:06:40,0:01:01
6,0.2349811900058078,0.9463282860595787,1.3160647564259718,0.7553849434847519,0:06:40,0:01:01
7,0.19914820711348633,0.9564939219449813,1.5035454800590573,0.7531456600554487,0:06:40,0:01:01
8,0.15306245516329345,0.9684723110826784,1.7334456416842396,0.7465344423117936,0:06:41,0:01:01
9,0.12628638618333235,0.9757233240918486,1.7369444228519038,0.7516528044359141,0:06:40,0:01:01
10,0.11597014881428558,0.9774649889813064,1.6889973212593912,0.7527191298784388,0:06:40,0:01:01
11,0.09537836421158216,0.9806284211274646,1.759841254551526,0.7462145446790361,0:06:40,0:01:01
12,0.08193203234145222,0.9839340299992907,1.8812631347124085,0.7425890381744532,0:06:40,0:01:01
13,0.06943762857654177,0.9884481410393138,1.9674850329576723,0.7504798464491371,0:06:40,0:01:01
14,0.05372384715901915,0.9904030710172754,2.111885094947515,0.7433354659842195,0:06:40,0:01:01
15,0.03771174832203042,0.9930688846235883,2.2227805831850884,0.7437619961612296,0:06:40,0:01:01
16,0.030249402036755146,0.9948460936944625,2.3294448003271437,0.7450415866922587,0:06:40,0:01:01
17,0.025014090778239503,0.996090140044076,2.228710757656842,0.747920665387077,0:06:40,0:01:01
18,0.01926161535834576,0.9965877585839202,2.470780967710154,0.7439752612497346,0:06:40,0:01:01
19,0.015574380956230222,0.9972986422122702,2.490201528683033,0.7433354659842201,0:06:41,0:01:01
20,0.011169835649828505,0.9980450700220374,2.5096120382763702,0.7451482192365131,0:06:41,0:01:01
