Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.584741584536369,0.7011622947323569,0.5165542655184112,0.7396033269353803,0:22:59,0:03:35
2,0.4894192485739794,0.7774045638729032,0.5633979096331813,0.7549370867988916,0:23:03,0:03:30
3,0.4400278721733655,0.8258157389635459,0.8443051027622662,0.7482192365109834,0:23:03,0:03:30
4,0.42899118013722487,0.8633148503590095,1.0017884714428815,0.7506717850287905,0:23:04,0:03:30
5,0.395838785896705,0.8901151631478046,1.2035939052523132,0.7457666879931756,0:23:03,0:03:30
6,0.3551989407643559,0.9100554489230231,1.2796302863686588,0.7432075069311155,0:23:04,0:03:30
7,0.3150891967571729,0.9256948887467216,1.2669614531273785,0.7428876092983576,0:23:04,0:03:30
8,0.272541487920526,0.9388106916897764,1.3226994071382212,0.7434207720196206,0:23:05,0:03:30
9,0.24162607145783013,0.9485142532167548,1.4050792413181252,0.7378545532096393,0:23:04,0:03:30
10,0.2250207328544906,0.955232103504662,1.5208448762384257,0.7331840477713806,0:23:05,0:03:31
11,0.1954037432617576,0.9596395820004322,1.5610214482419524,0.7390488377052677,0:23:06,0:03:31
12,0.16212142248235326,0.9689343854411079,1.70348206812617,0.7374493495414801,0:23:05,0:03:30
13,0.14119317322927677,0.974159380109478,1.6854721235882766,0.7370228193644695,0:23:05,0:03:31
14,0.1250992404940841,0.9768251937157924,1.747085988983662,0.7362550650458518,0:23:05,0:03:31
15,0.10486474719825736,0.9797753607734436,1.7602178741674583,0.7382810833866498,0:23:05,0:03:31
16,0.09551553318989323,0.9835785881851166,1.7655602449130252,0.7409468969929623,0:23:05,0:03:31
17,0.08376844397747987,0.9859600483400885,1.8246269148834924,0.7420132224354866,0:23:05,0:03:31
18,0.0729717246719637,0.9866709319684379,1.885965859497345,0.7386009810194067,0:23:05,0:03:31
19,0.06757364736015722,0.9883415084950609,1.914602359770048,0.7420132224354867,0:23:05,0:03:31
20,0.060388631872830736,0.9894433781190035,1.9225548491637465,0.7403071017274468,0:23:06,0:03:31
