Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6962299637383657,0.5317764981872456,0.6988992795910656,0.44945617402431154,0:12:00,0:02:11
2,0.6931003034877533,0.5360062557759299,0.7007522893043489,0.44945617402431154,0:11:59,0:02:11
3,0.6920007324137396,0.5419776782540702,0.6996450069540979,0.44945617402431154,0:11:58,0:02:11
4,0.6904332823566751,0.544252505864789,0.6969575655056129,0.44945617402431154,0:11:57,0:02:11
5,0.6900480607916587,0.5447145802232171,0.698592043693296,0.44945617402431154,0:11:57,0:02:10
6,0.6897544175939383,0.5469894078339376,0.6926285928056855,0.5505438259756884,0:11:58,0:02:11
7,0.6892397888537077,0.5485533518163072,0.6932660023981535,0.44945617402431154,0:11:57,0:02:10
8,0.689249831848649,0.5492997796260748,0.6911018957560899,0.5505438259756884,0:11:56,0:02:10
9,0.6897122185414319,0.5468827752896844,0.702053857742024,0.44945617402431154,0:11:57,0:02:11
10,0.6916295538059962,0.5407336319044574,0.6937337470069881,0.44945617402431154,0:11:58,0:02:10
11,0.6890248119970913,0.5489443378118996,0.689923624197642,0.5505438259756884,0:11:58,0:02:10
12,0.6887903505994659,0.5491576029004045,0.6890022129640316,0.5505438259756884,0:11:58,0:02:12
13,0.6888848474651645,0.548944337811899,0.6898439493762021,0.5505438259756884,0:11:57,0:02:10
14,0.6887509890089769,0.5491931470818219,0.6884443061670583,0.5505438259756884,0:11:57,0:02:10
15,0.6908504217195724,0.5409113528115448,0.6975463205854326,0.44998933674557406,0:11:57,0:02:10
16,0.6901334401360705,0.5443591384090422,0.6943435692207522,0.44945617402431154,0:11:57,0:02:10
17,0.6900325324215546,0.5450700220373914,0.6925878651769056,0.5505438259756884,0:11:56,0:02:10
18,0.6893825194148728,0.5473093054666943,0.6904197508756427,0.5505438259756884,0:11:57,0:02:10
19,0.6890468575039711,0.5488732494490642,0.6889139321928823,0.5505438259756884,0:11:56,0:02:10
20,0.6887104322493877,0.549406412170327,0.6880303983572424,0.5505438259756884,0:11:56,0:02:10
