Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.6952412040547843,0.5403426459088658,0.6200006923382662,0.6647472808701204,0:23:10,0:04:29
2,0.603866859345732,0.7041835501528422,0.5693740555283662,0.7221582426956709,0:23:04,0:04:08
3,0.567339175297148,0.7317302907514076,0.5587141683285844,0.7262529323949677,0:23:03,0:04:08
4,0.5454307937179071,0.7546207435842807,0.5763709689237259,0.7355299637449357,0:23:03,0:04:08
5,0.5080351662705082,0.7771202104215618,0.5895862775954275,0.7223288547664745,0:23:03,0:04:08
6,0.4847984532306261,0.8021433141394855,0.6432996965630156,0.7357432288334383,0:23:03,0:04:08
7,0.47238500739292255,0.8281971991185163,0.7439357013926053,0.7302836425677124,0:23:03,0:04:08
8,0.44832065364458723,0.8523672424824178,0.9478076658964214,0.7259330347622094,0:23:03,0:04:08
9,0.4303228660721207,0.8612532878367927,0.9677560014521521,0.7336745574749425,0:23:03,0:04:08
10,0.4084333919007971,0.8786877088220785,1.0540297261855767,0.7271912987843905,0:23:03,0:04:08
11,0.38986469317366335,0.8920167768536388,1.230231735566202,0.7162081467263808,0:23:04,0:04:08
12,0.3543702696544299,0.9116904812682257,1.361393451562267,0.7121347835359352,0:23:04,0:04:08
13,0.3076122003400342,0.9251084097533295,1.4326211688497836,0.7173597782043085,0:23:05,0:04:09
14,0.2638078423154101,0.9403924077628572,1.510375007692074,0.7191938579654507,0:23:07,0:04:09
15,0.22140918727745185,0.9530461363474844,1.5827431528240183,0.7121347835359354,0:23:07,0:04:09
16,0.1864721565994278,0.9622876235160338,1.7074643251061128,0.7077628492215823,0:23:07,0:04:09
17,0.15038486003558463,0.9722044501315162,1.768391473512034,0.7114949882704207,0:23:07,0:04:09
18,0.1277085596908784,0.9765763844458686,1.9480454500002509,0.7097888675623807,0:23:08,0:04:09
19,0.10548152732848193,0.9815170256629001,2.1360166597146777,0.7034975474514822,0:23:08,0:04:11
20,0.09776239832613262,0.9835074998222794,2.16047139905327,0.7038174450842397,0:23:08,0:04:09
