Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.7011033440226048,0.5296083031207783,0.7032294445364276,0.44945617402431154,0:12:26,0:02:45
2,0.6991933419471053,0.5274401080543116,0.7027894327523079,0.44945617402431154,0:11:52,0:02:09
3,0.6984997880461374,0.5272623871472246,0.7048458174033113,0.44945617402431154,0:11:52,0:02:09
4,0.6974216837584527,0.5254851780763486,0.7069584710889342,0.44945617402431154,0:11:51,0:02:09
5,0.6951462921366098,0.5310300703774792,0.6998249520419579,0.44945617402431154,0:11:51,0:02:09
6,0.6963365890878582,0.5312077912845663,0.7014683531555547,0.44945617402431154,0:11:50,0:02:09
7,0.6957678720370923,0.5297860240278648,0.699813307742621,0.44945617402431154,0:11:50,0:02:09
8,0.6946283835964585,0.5332693538067811,0.6985641628294058,0.44945617402431154,0:11:50,0:02:10
9,0.69400647059512,0.5350465628776572,0.6976266756930263,0.44945617402431154,0:11:50,0:02:09
10,0.6934011211131371,0.534335679249305,0.6979845382811851,0.44945617402431154,0:11:50,0:02:09
11,0.6925506310870739,0.5335892514395378,0.6964666950954357,0.44945617402431154,0:11:50,0:02:09
12,0.6934785888593673,0.5356152697803355,0.697418778619931,0.44945617402431154,0:11:50,0:02:09
13,0.6930232254915792,0.5376412881211361,0.6960665548526547,0.44945617402431154,0:11:50,0:02:09
14,0.6913782040189136,0.5367171394042788,0.693150111634382,0.44945617402431154,0:11:50,0:02:09
15,0.691475580205895,0.5349399303334046,0.6929471824158481,0.5505438259756884,0:11:50,0:02:09
16,0.6922827994017541,0.5346911210634808,0.6917704295745967,0.5505438259756884,0:11:54,0:02:12
17,0.69141373674507,0.536610506860028,0.6902545591004751,0.5505438259756884,0:11:50,0:02:09
18,0.6907900428436387,0.5380678182981445,0.6893086476121586,0.5505438259756884,0:11:50,0:02:09
19,0.6912977956306912,0.5417644131655649,0.688467484746922,0.5505438259756884,0:11:50,0:02:09
20,0.6904809580451264,0.5386009810194073,0.6880298121114305,0.5505438259756884,0:11:50,0:02:10
