Epoch,Training_Loss,Training_Accuracy,Validation_Loss,Validation_Accuracy,Training_Time,Validation_Time
1,0.7009573301658317,0.5287374706760497,0.6900278341671021,0.5449989336745578,0:23:33,0:04:36
2,0.6992186853742772,0.5278488661406145,0.6900410143442819,0.5449989336745578,0:23:28,0:04:13
3,0.6979243533078427,0.5309056657425177,0.6899229248059688,0.5449989336745578,0:23:28,0:04:12
4,0.6966627582885432,0.5328605957204798,0.6900512052131477,0.5449989336745578,0:23:28,0:04:12
5,0.6966429815080838,0.5286308381317973,0.691213926289681,0.5449989336745578,0:23:27,0:04:12
6,0.6954244125954605,0.5338913769815878,0.6913879535477359,0.5449989336745578,0:23:27,0:04:12
7,0.694736552819384,0.5341757304329277,0.6914117156277081,0.5449989336745578,0:23:26,0:04:12
8,0.6933928063541721,0.5341401862515083,0.6912100278484615,0.5449989336745578,0:23:27,0:04:12
9,0.6927088923191409,0.5347444373356072,0.6912758762227825,0.5449989336745578,0:23:26,0:04:14
10,0.6935083540639126,0.5357929906874214,0.6909390319560631,0.5449989336745578,0:23:27,0:04:12
11,0.6933712741540017,0.5381922229331035,0.690944272588631,0.5449989336745578,0:23:28,0:04:13
12,0.6923349803890798,0.5351709675126175,0.6908708765044551,0.5449989336745578,0:23:29,0:04:13
13,0.691628220131413,0.536308381317979,0.6907062648735364,0.5449989336745578,0:23:29,0:04:13
14,0.6919988700387116,0.5398627994597284,0.6900567277379319,0.5449989336745578,0:23:29,0:04:13
15,0.6913079233420228,0.5382633112959411,0.6898990303983462,0.5449989336745578,0:23:30,0:04:13
16,0.6911932066270451,0.5413911992606809,0.6898882071787321,0.5449989336745578,0:23:29,0:04:13
17,0.6909165236773992,0.539294092557049,0.6895229650550521,0.5449989336745578,0:23:30,0:04:13
18,0.6903469217093063,0.5397206227340581,0.6892083080929972,0.5449989336745578,0:23:30,0:04:13
19,0.69047052874497,0.541035757446505,0.6891868319636496,0.5449989336745578,0:23:30,0:04:13
20,0.6896574278075092,0.5396495343712225,0.689296644045158,0.5449989336745578,0:23:30,0:04:13
